AL,1985,1,121.35
AL,1985,2,124.58
AL,1985,3,127.34
AL,1985,4,128.23
AL,1986,1,129.50
AL,1986,2,131.85
AL,1986,3,133.33
AL,1986,4,135.92
AL,1987,1,138.05
AL,1987,2,139.10
AL,1987,3,139.67
AL,1987,4,138.32
AL,1988,1,141.98
AL,1988,2,143.04
AL,1988,3,142.65
AL,1988,4,141.27
AL,1989,1,141.48
AL,1989,2,143.35
AL,1989,3,145.52
AL,1989,4,146.58
AL,1990,1,145.47
AL,1990,2,146.67
AL,1990,3,147.26
AL,1990,4,147.42
AL,1991,1,148.70
AL,1991,2,150.89
AL,1991,3,151.75
AL,1991,4,154.21
AL,1992,1,155.46
AL,1992,2,155.63
AL,1992,3,158.59
AL,1992,4,159.94
AL,1993,1,161.01
AL,1993,2,162.75
AL,1993,3,165.66
AL,1993,4,167.11
AL,1994,1,168.19
AL,1994,2,170.24
AL,1994,3,170.94
AL,1994,4,171.09
AL,1995,1,172.64
AL,1995,2,176.09
AL,1995,3,178.87
AL,1995,4,180.23
AL,1996,1,183.40
AL,1996,2,183.38
AL,1996,3,183.76
AL,1996,4,185.89
AL,1997,1,188.02
AL,1997,2,189.23
AL,1997,3,192.17
AL,1997,4,194.66
AL,1998,1,197.87
AL,1998,2,199.41
AL,1998,3,201.59
AL,1998,4,204.09
AL,1999,1,204.73
AL,1999,2,205.53
AL,1999,3,205.92
AL,1999,4,207.57
AL,2000,1,208.30
AL,2000,2,210.02
AL,2000,3,211.68
AL,2000,4,214.38
AL,2001,1,220.62
AL,2001,2,221.55
AL,2001,3,223.14
AL,2001,4,225.66
AL,2002,1,226.05
AL,2002,2,227.21
AL,2002,3,230.58
AL,2002,4,233.26
AL,2003,1,235.64
AL,2003,2,237.72
AL,2003,3,239.33
AL,2003,4,240.90
AL,2004,1,243.13
AL,2004,2,244.68
AL,2004,3,249.19
AL,2004,4,252.89
AL,2005,1,256.17
AL,2005,2,262.31
AL,2005,3,267.84
AL,2005,4,273.30
AL,2006,1,278.79
AL,2006,2,283.39
AL,2006,3,287.94
AL,2006,4,293.43
AL,2007,1,295.38
AL,2007,2,299.48
AL,2007,3,300.20
AL,2007,4,302.48
AL,2008,1,304.42
AL,2008,2,303.21
AL,2008,3,300.93
AL,2008,4,302.48
AL,2009,1,304.67
AL,2009,2,301.37
AL,2009,3,294.20
AL,2009,4,293.29
AL,2010,1,289.10
AL,2010,2,284.78
AL,2010,3,288.65
AL,2010,4,286.21
AL,2011,1,278.72
AL,2011,2,274.99
AL,2011,3,277.16
AL,2011,4,279.29
AL,2012,1,276.38
AL,2012,2,274.47
AL,2012,3,276.37
AL,2012,4,276.87
AL,2013,1,274.10
AL,2013,2,274.74
AL,2013,3,274.15
AL,2013,4,273.13
AL,2014,1,274.86
AL,2014,2,275.56
AL,2014,3,278.58
AL,2014,4,279.97
AL,2015,1,282.91
AL,2015,2,283.71
AL,2015,3,285.43
AL,2015,4,287.30
AL,2016,1,287.99
AL,2016,2,292.08
AL,2016,3,296.67
AL,2016,4,295.65
AL,2017,1,297.31
AL,2017,2,300.90
AL,2017,3,303.86
AL,2017,4,305.70
AL,2018,1,309.23
AL,2018,2,313.75
AL,2018,3,316.81
AL,2018,4,317.46
AL,2019,1,323.31
AL,2019,2,327.70
AL,2019,3,332.52
AL,2019,4,336.42
AL,2020,1,340.26
AL,2020,2,345.21
AL,2020,3,351.77
AL,2020,4,359.14
AL,2021,1,366.54
AL,2021,2,383.89
AL,2021,3,405.56
AL,2021,4,422.32
AL,2022,1,434.23
AL,2022,2,460.84
AL,2022,3,475.29
AL,2022,4,475.92
AL,2023,1,482.25
AR,1975,1,66.54
AR,1975,2,60.19
AR,1975,3,64.92
AR,1975,4,62.80
AR,1976,1,66.82
AR,1976,2,68.62
AR,1976,3,71.35
AR,1976,4,72.12
AR,1977,1,72.75
AR,1977,2,74.80
AR,1977,3,78.12
AR,1977,4,80.86
AR,1978,1,80.74
AR,1978,2,83.45
AR,1978,3,86.06
AR,1978,4,86.06
AR,1979,1,91.58
AR,1979,2,94.56
AR,1979,3,99.11
AR,1979,4,101.35
AR,1980,1,100.00
AR,1980,2,100.79
AR,1980,3,106.50
AR,1980,4,108.83
AR,1981,1,109.56
AR,1981,2,106.25
AR,1981,3,108.90
AR,1981,4,102.72
AR,1982,1,102.48
AR,1982,2,105.90
AR,1982,3,110.74
AR,1982,4,108.43
AR,1983,1,112.94
AR,1983,2,116.15
AR,1983,3,117.80
AR,1983,4,118.01
AR,1984,1,120.31
AR,1984,2,118.68
AR,1984,3,119.33
AR,1984,4,120.76
AR,1985,1,120.89
AR,1985,2,119.62
AR,1985,3,123.73
AR,1985,4,124.08
AR,1986,1,125.30
AR,1986,2,128.38
AR,1986,3,126.29
AR,1986,4,127.88
AR,1987,1,128.82
AR,1987,2,130.36
AR,1987,3,127.36
AR,1987,4,123.88
AR,1988,1,126.19
AR,1988,2,127.21
AR,1988,3,126.48
AR,1988,4,125.90
AR,1989,1,126.86
AR,1989,2,126.55
AR,1989,3,127.75
AR,1989,4,126.80
AR,1990,1,127.49
AR,1990,2,127.70
AR,1990,3,128.43
AR,1990,4,127.94
AR,1991,1,129.22
AR,1991,2,129.86
AR,1991,3,131.07
AR,1991,4,133.34
AR,1992,1,134.39
AR,1992,2,133.76
AR,1992,3,136.10
AR,1992,4,136.74
AR,1993,1,137.95
AR,1993,2,140.20
AR,1993,3,142.79
AR,1993,4,144.51
AR,1994,1,147.29
AR,1994,2,148.51
AR,1994,3,150.36
AR,1994,4,151.41
AR,1995,1,152.21
AR,1995,2,156.38
AR,1995,3,158.30
AR,1995,4,159.10
AR,1996,1,161.43
AR,1996,2,161.71
AR,1996,3,161.51
AR,1996,4,163.18
AR,1997,1,164.70
AR,1997,2,166.21
AR,1997,3,167.10
AR,1997,4,169.34
AR,1998,1,171.16
AR,1998,2,171.14
AR,1998,3,173.90
AR,1998,4,175.83
AR,1999,1,176.62
AR,1999,2,176.83
AR,1999,3,177.47
AR,1999,4,178.14
AR,2000,1,179.00
AR,2000,2,180.71
AR,2000,3,181.78
AR,2000,4,184.22
AR,2001,1,188.86
AR,2001,2,189.96
AR,2001,3,191.92
AR,2001,4,193.85
AR,2002,1,194.59
AR,2002,2,195.46
AR,2002,3,198.64
AR,2002,4,201.11
AR,2003,1,202.63
AR,2003,2,203.93
AR,2003,3,206.38
AR,2003,4,209.51
AR,2004,1,212.14
AR,2004,2,215.64
AR,2004,3,219.16
AR,2004,4,223.01
AR,2005,1,226.16
AR,2005,2,231.39
AR,2005,3,236.54
AR,2005,4,239.77
AR,2006,1,243.29
AR,2006,2,246.65
AR,2006,3,249.32
AR,2006,4,251.51
AR,2007,1,253.82
AR,2007,2,255.32
AR,2007,3,255.05
AR,2007,4,256.17
AR,2008,1,255.93
AR,2008,2,255.18
AR,2008,3,252.14
AR,2008,4,253.46
AR,2009,1,255.66
AR,2009,2,252.49
AR,2009,3,248.42
AR,2009,4,247.39
AR,2010,1,244.05
AR,2010,2,244.82
AR,2010,3,245.62
AR,2010,4,244.57
AR,2011,1,240.65
AR,2011,2,238.94
AR,2011,3,241.14
AR,2011,4,242.32
AR,2012,1,241.74
AR,2012,2,239.32
AR,2012,3,242.67
AR,2012,4,244.19
AR,2013,1,244.91
AR,2013,2,245.28
AR,2013,3,245.96
AR,2013,4,245.57
AR,2014,1,246.95
AR,2014,2,246.88
AR,2014,3,249.15
AR,2014,4,251.86
AR,2015,1,251.96
AR,2015,2,252.83
AR,2015,3,256.31
AR,2015,4,258.26
AR,2016,1,257.00
AR,2016,2,260.87
AR,2016,3,263.59
AR,2016,4,264.94
AR,2017,1,267.90
AR,2017,2,269.27
AR,2017,3,272.13
AR,2017,4,274.34
AR,2018,1,277.12
AR,2018,2,279.77
AR,2018,3,282.24
AR,2018,4,284.41
AR,2019,1,286.84
AR,2019,2,290.20
AR,2019,3,293.38
AR,2019,4,295.89
AR,2020,1,297.71
AR,2020,2,300.35
AR,2020,3,304.71
AR,2020,4,312.26
AR,2021,1,317.69
AR,2021,2,333.96
AR,2021,3,352.41
AR,2021,4,367.98
AR,2022,1,378.27
AR,2022,2,402.97
AR,2022,3,416.26
AR,2022,4,417.27
AR,2023,1,425.13
AZ,1975,1,60.63
AZ,1975,2,59.87
AZ,1975,3,59.44
AZ,1975,4,56.33
AZ,1976,1,58.96
AZ,1976,2,62.79
AZ,1976,3,61.10
AZ,1976,4,61.74
AZ,1977,1,63.60
AZ,1977,2,63.93
AZ,1977,3,66.18
AZ,1977,4,70.08
AZ,1978,1,71.41
AZ,1978,2,74.11
AZ,1978,3,78.93
AZ,1978,4,83.04
AZ,1979,1,87.13
AZ,1979,2,92.57
AZ,1979,3,95.37
AZ,1979,4,98.89
AZ,1980,1,100.00
AZ,1980,2,98.31
AZ,1980,3,106.91
AZ,1980,4,107.62
AZ,1981,1,108.75
AZ,1981,2,111.91
AZ,1981,3,116.41
AZ,1981,4,109.74
AZ,1982,1,105.29
AZ,1982,2,109.07
AZ,1982,3,101.44
AZ,1982,4,108.65
AZ,1983,1,118.89
AZ,1983,2,118.94
AZ,1983,3,115.25
AZ,1983,4,112.82
AZ,1984,1,117.47
AZ,1984,2,121.67
AZ,1984,3,122.81
AZ,1984,4,122.46
AZ,1985,1,125.02
AZ,1985,2,125.47
AZ,1985,3,127.18
AZ,1985,4,128.74
AZ,1986,1,131.36
AZ,1986,2,135.32
AZ,1986,3,135.31
AZ,1986,4,132.86
AZ,1987,1,137.67
AZ,1987,2,136.59
AZ,1987,3,135.63
AZ,1987,4,133.49
AZ,1988,1,134.86
AZ,1988,2,136.07
AZ,1988,3,134.05
AZ,1988,4,134.28
AZ,1989,1,133.12
AZ,1989,2,132.55
AZ,1989,3,134.59
AZ,1989,4,133.88
